# Grade identity and physical constants. One row per grade, joined to
# docs/specs.csv on (family, grade) - the two files must use identical keys.
#
# docs/build-grades.mjs writes the Equivalent Grades table and the Chemical
# Composition table onto every page from this file and docs/chemistry.csv, and
# lints every page's title, meta and JSON-LD for an identifier that contradicts
# the grade the page is about.
#
# WHY THIS FILE EXISTS: on 2026-08-22 an audit of all 778 published pages found
# 4 grades publishing conflicting UNS numbers, 24 conflicting Werkstoff numbers,
# 51 grades whose sibling pages disagreed on chemistry and 61 density/melting
# disagreements - incoloy/800/round-bar cited 2.4952, which is Nimonic 80A's
# number, and monel/K-500/sheets carried Monel 400's density. Same failure the
# prices and the specs had before their CSVs existed: the same figure typed onto
# a form page, a form hub and a grade hub, with nothing keeping them in step.
#
# ---------------------------------------------------------------------------
# THE GATE: a row is published only when `checked` holds a date AND `source`
# names a bulletin. Rows marked `pending` are NOT written to any page - their
# pages keep the hand-written tables until a human verifies the row. This is
# what makes the migration safe: filling the file changes nothing until it has
# been checked, and the lint reports contradictions from day one either way.
# ---------------------------------------------------------------------------
#
# FILL A CELL ONLY FROM A MILL TECHNICAL BULLETIN. Special Metals publishes
# INCONEL, INCOLOY, MONEL and NIMONIC; Haynes International publishes HASTELLOY
# and HAYNES; ATI publishes AL-6XN. Never fill a cell from a distributor
# listing, and never from this site's own pages - the audit above proves the
# pages disagree, so seeding from them would launder today's errors into a
# "source of truth". Where a mill publishes no identifier the cell is "-";
# do not substitute a plausible-looking number.
#
# COLUMNS
#   family, grade    join key, must match docs/specs.csv exactly
#   uns              UNS number, or "-" where none is assigned. --check errors
#                    if this disagrees with the uns column in docs/specs.csv.
#   wnr              Werkstoff / EN material number, or "-"
#   en_name          EN symbolic designation (NiCr22Mo9Nb), or "-"
#   density_g_cm3    BARE NUMBER in g/cm3 - no units, no "~", no range. It is
#                    kept machine-readable on purpose: build-grades.mjs emits
#                    docs/grades.json from this column so a weight calculator
#                    can consume it directly. A range here breaks that.
#   melting_c        melting range in C as the mill publishes it, e.g. 1290-1350
#   source           the bulletin the row was read from, or "pending"
#   checked          YYYY-MM of verification, or empty while pending
#
# Some grades appear twice because the form hubs group them differently
# (nickel-alloy/Inconel 600 and inconel/600 are the same material). --check
# requires rows that share a UNS to agree on wnr, en_name and density, so the
# duplication is guarded rather than free to drift.
#
# REVIEWED QUARTERLY, like prices.csv. Bulletins get revised and standards get
# rescoped, so a row is only as good as the day it was checked against its
# source. Each pass re-verifies one family and bumps its `checked`.
#
# After editing: node docs/build-grades.mjs   then commit the changed pages.
# node docs/build-grades.mjs --check reports drift and contradictions, exits 1.

family,grade,uns,wnr,en_name,density_g_cm3,melting_c,source,checked
inconel,600,N06600,2.4816,,8.47,1354-1413,Special Metals INCONEL alloy 600 bulletin,2026-08
inconel,601,N06601,2.4851,,8.11,1360-1411,Special Metals INCONEL alloy 601 bulletin,2026-08
# 602 CA MOVED TO THE nickel-alloy FAMILY on 2026-08-26 - see the row down in
# that block. It is not an INCONEL grade: Special Metals does not make it and
# publishes no bulletin for it. VDM Metals does, as VDM Alloy 602 CA / Nicrofer
# 6025 HT, and the pages moved out of the inconel path into the nickel-alloy one
# with the grade renamed "Alloy 602 CA" in the same pass. (The old path is not
# spelled out here on purpose: a sitewide old-to-new URL sweep rewrites prose
# too, and this comment was mangled into "moved from X to X" the first time.)
# The Special Metals bulletin heads this grade "W.Nr. 2.4663a". The plain 2.4663
# is what the pages, the trade and the buyers use, so that is what is recorded
# here; the suffixed form is noted rather than published. If the 'a' turns out to
# denote a distinct variant rather than a revision marker, this needs revisiting.
inconel,617,N06617,2.4663,,8.36,1332-1380,Special Metals INCONEL alloy 617 bulletin,2026-08
inconel,625,N06625,2.4856,,8.44,1290-1350,Special Metals INCONEL alloy 625 bulletin,2026-08
# NO SPECIAL METALS BULLETIN EXISTS FOR THIS GRADE. The source is ATI's data
# sheet for ATI 625HP - the same UNS N06626 restricted-composition vacuum-melted
# alloy 625 variant under ATI's trademark rather than Special Metals' "625LCF",
# developed for the same bellows service. It heads the grade "(UNS N06626)" and
# prints density and melting range in its own physical constants table.
#
# WERKSTOFF AND EN NAME ARE CLEARED, NOT DASHED. The seeded 2.4856 /
# NiCr22Mo9Nb are alloy 625's - N06625, a different UNS - and the pages publish
# them on every 625 LCF page as though they were this grade's. The ATI sheet
# prints no Werkstoff number for any grade, so its silence is not the selective
# kind that earns a "-"; it is simply not a source for that field. Blank until a
# source that does publish Werkstoff numbers is read.
#
# Melting range was seeded 1290-1350, which is alloy 625's. ATI prints
# 2350-2460 °F (1280-1350 °C) for N06626. Density 8.44 the two do share, and
# ATI prints it independently as 0.305 lb/in³.
inconel,625 LCF,N06626,,,8.44,1280-1350,ATI 625HP alloy data sheet - UNS N06626 - version 1 (2012),2026-08
# 660 (A286) MOVED TO THE incoloy FAMILY on 2026-08-26 - see the row in that
# block. Like 602 CA before it, this was never an INCONEL grade. It is an
# iron-based precipitation-hardened superalloy, not a nickel-chromium one, and
# "660" is a specification designation rather than a Special Metals alloy name -
# ATI's sheet puts it plainly: "This alloy is designated Grade or Type 660 in
# several specifications." The pages moved to /incoloy/660/ in the same pass.
inconel,686,N06686,2.4606,,8.73,1338-1380,Special Metals INCONEL alloy 686 bulletin,2026-08
